Date,Store,Product,Sales,Price,day,month,lag_1,lag_2,rolling_mean,Predicted,Reorder_Point,Inventory_Status,Revenue,Profit,Anomaly
2023-01-18,Store_A,Milk,62,27,18,1,65.0,65.0,64.0,61.92,346.5260626838274,LOW,1674,334.8,NO
2023-01-19,Store_A,Milk,68,27,19,1,62.0,65.0,65.0,67.02,372.0260626838274,LOW,1836,367.20000000000005,NO
2023-01-20,Store_A,Milk,58,27,20,1,68.0,62.0,62.666666666666664,60.01,336.9760626838274,LOW,1566,313.20000000000005,NO
2023-01-21,Store_A,Milk,62,27,21,1,58.0,68.0,62.666666666666664,63.42,354.0260626838274,LOW,1674,334.8,NO
2023-01-22,Store_A,Milk,61,27,22,1,62.0,58.0,60.333333333333336,59.54,334.6260626838274,LOW,1647,329.40000000000003,NO
2023-01-23,Store_A,Milk,68,27,23,1,61.0,62.0,63.666666666666664,67.32,373.5260626838274,LOW,1836,367.20000000000005,NO
2023-01-24,Store_A,Milk,51,27,24,1,68.0,61.0,60.0,52.04,297.1260626838274,LOW,1377,275.40000000000003,NO
2023-01-25,Store_A,Milk,56,27,25,1,51.0,68.0,58.333333333333336,55.5,314.42606268382735,LOW,1512,302.40000000000003,NO
2023-01-26,Store_A,Milk,69,27,26,1,56.0,51.0,58.666666666666664,68.16,377.7260626838273,LOW,1863,372.6,NO
2023-01-27,Store_A,Milk,68,27,27,1,69.0,56.0,64.33333333333333,66.68,370.32606268382744,LOW,1836,367.20000000000005,NO
2023-01-28,Store_A,Milk,55,27,28,1,68.0,69.0,64.0,56.73,320.57606268382733,LOW,1485,297.0,NO
2023-01-29,Store_A,Milk,66,27,29,1,55.0,68.0,63.0,65.49,364.3760626838274,LOW,1782,356.40000000000003,NO
2023-01-30,Store_A,Milk,65,27,30,1,66.0,55.0,62.0,64.43,359.07606268382744,LOW,1755,351.0,NO
2023-01-31,Store_A,Milk,54,27,31,1,65.0,66.0,61.666666666666664,55.73,315.57606268382733,LOW,1458,291.6,NO
2023-02-01,Store_A,Milk,58,27,1,2,54.0,65.0,59.0,57.8,325.92606268382735,LOW,1566,313.20000000000005,NO
2023-02-02,Store_A,Milk,48,27,2,2,58.0,54.0,53.333333333333336,51.0,291.92606268382735,LOW,1296,259.2,NO
2023-02-03,Store_A,Milk,49,27,3,2,48.0,58.0,51.666666666666664,50.24,288.1260626838274,LOW,1323,264.6,NO
2023-02-04,Store_A,Milk,45,27,4,2,49.0,48.0,47.333333333333336,46.85,271.17606268382735,LOW,1215,243.0,NO
2023-02-05,Store_A,Milk,45,27,5,2,45.0,49.0,46.333333333333336,45.87,266.2760626838274,LOW,1215,243.0,NO
2023-02-06,Store_A,Milk,59,27,6,2,45.0,45.0,49.666666666666664,56.04,317.1260626838274,LOW,1593,318.6,NO
2023-02-07,Store_A,Milk,48,27,7,2,59.0,45.0,50.666666666666664,48.23,278.07606268382733,LOW,1296,259.2,NO
2023-02-08,Store_A,Milk,54,27,8,2,48.0,59.0,53.666666666666664,54.77,310.7760626838274,LOW,1458,291.6,NO
2023-02-09,Store_A,Milk,49,27,9,2,54.0,48.0,50.333333333333336,49.08,282.32606268382733,LOW,1323,264.6,NO
2023-02-10,Store_A,Milk,51,27,10,2,49.0,54.0,51.333333333333336,51.01,291.97606268382737,LOW,1377,275.40000000000003,NO
2023-02-11,Store_A,Milk,41,27,11,2,51.0,49.0,47.0,43.03,252.0760626838274,LOW,1107,221.4,NO
2023-02-12,Store_A,Milk,40,27,12,2,41.0,51.0,44.0,41.89,246.37606268382737,LOW,1080,216.0,NO
2023-02-13,Store_A,Milk,43,27,13,2,40.0,41.0,41.333333333333336,44.21,257.9760626838274,LOW,1161,232.20000000000002,NO
2023-02-14,Store_A,Milk,55,27,14,2,43.0,40.0,46.0,52.09,297.3760626838274,LOW,1485,297.0,NO
2023-02-15,Store_A,Milk,42,27,15,2,55.0,43.0,46.666666666666664,42.23,248.07606268382736,LOW,1134,226.8,NO
2023-02-16,Store_A,Milk,50,27,16,2,42.0,55.0,49.0,49.79,285.8760626838274,LOW,1350,270.0,NO
2023-02-17,Store_A,Milk,37,27,17,2,50.0,42.0,43.0,40.02,237.0260626838274,LOW,999,199.8,NO
2023-02-18,Store_A,Milk,54,27,18,2,37.0,50.0,47.0,51.3,293.42606268382735,LOW,1458,291.6,NO
2023-02-19,Store_A,Milk,47,27,19,2,54.0,37.0,46.0,46.02,267.0260626838274,LOW,1269,253.8,NO
2023-02-20,Store_A,Milk,54,27,20,2,47.0,54.0,51.666666666666664,52.5,299.42606268382735,LOW,1458,291.6,NO
2023-02-21,Store_A,Milk,39,27,21,2,54.0,47.0,46.666666666666664,40.63,240.0760626838274,LOW,1053,210.60000000000002,NO
2023-02-22,Store_A,Milk,48,27,22,2,39.0,54.0,47.0,48.4,278.92606268382735,LOW,1296,259.2,NO
2023-02-23,Store_A,Milk,51,27,23,2,48.0,39.0,46.0,50.7,290.42606268382735,LOW,1377,275.40000000000003,NO
2023-02-24,Store_A,Milk,43,27,24,2,51.0,48.0,47.333333333333336,43.21,252.9760626838274,LOW,1161,232.20000000000002,NO
2023-02-25,Store_A,Milk,48,27,25,2,43.0,51.0,47.333333333333336,48.54,279.6260626838274,LOW,1296,259.2,NO
2023-02-26,Store_A,Milk,59,27,26,2,48.0,43.0,50.0,56.3,318.42606268382735,LOW,1593,318.6,NO
2023-02-27,Store_A,Milk,44,27,27,2,59.0,48.0,50.333333333333336,45.19,262.8760626838274,LOW,1188,237.60000000000002,NO
2023-02-28,Store_A,Milk,52,27,28,2,44.0,59.0,51.666666666666664,51.96,296.7260626838274,LOW,1404,280.8,NO
2023-03-01,Store_A,Milk,47,27,1,3,52.0,44.0,47.666666666666664,47.48,274.32606268382733,LOW,1269,253.8,NO
2023-03-02,Store_A,Milk,59,27,2,3,47.0,52.0,52.666666666666664,58.57,329.7760626838274,LOW,1593,318.6,NO
2023-03-03,Store_A,Milk,59,27,3,3,59.0,47.0,55.0,58.65,330.17606268382735,LOW,1593,318.6,NO
2023-03-04,Store_A,Milk,49,27,4,3,59.0,59.0,55.666666666666664,51.07,292.2760626838274,LOW,1323,264.6,NO
2023-03-05,Store_A,Milk,56,27,5,3,49.0,59.0,54.666666666666664,56.19,317.8760626838274,LOW,1512,302.40000000000003,NO
2023-03-06,Store_A,Milk,63,27,6,3,56.0,49.0,56.0,61.28,343.32606268382733,LOW,1701,340.20000000000005,NO
2023-03-07,Store_A,Milk,50,27,7,3,63.0,56.0,56.333333333333336,51.05,292.17606268382735,LOW,1350,270.0,NO
2023-03-08,Store_A,Milk,63,27,8,3,50.0,63.0,58.666666666666664,60.89,341.3760626838274,LOW,1701,340.20000000000005,NO
2023-03-09,Store_A,Milk,66,27,9,3,63.0,50.0,59.666666666666664,64.91,361.4760626838273,LOW,1782,356.40000000000003,NO
2023-03-10,Store_A,Milk,61,27,10,3,66.0,63.0,63.333333333333336,61.54,344.6260626838274,LOW,1647,329.40000000000003,NO
2023-03-11,Store_A,Milk,64,27,11,3,61.0,66.0,63.666666666666664,64.37,358.7760626838274,LOW,1728,345.6,NO
2023-03-12,Store_A,Milk,72,27,12,3,64.0,61.0,65.66666666666667,70.48,389.32606268382744,LOW,1944,388.8,NO
2023-03-13,Store_A,Milk,63,27,13,3,72.0,64.0,66.33333333333333,64.94,361.6260626838274,LOW,1701,340.20000000000005,NO
2023-03-14,Store_A,Milk,67,27,14,3,63.0,72.0,67.33333333333333,68.05,377.17606268382735,LOW,1809,361.8,NO
2023-03-15,Store_A,Milk,69,27,15,3,67.0,63.0,66.33333333333333,68.67,380.2760626838274,LOW,1863,372.6,NO
2023-03-16,Store_A,Milk,61,27,16,3,69.0,67.0,65.66666666666667,61.88,346.32606268382744,LOW,1647,329.40000000000003,NO
2023-03-17,Store_A,Milk,65,27,17,3,61.0,69.0,65.0,64.03,357.07606268382733,LOW,1755,351.0,NO
2023-03-18,Store_A,Milk,70,27,18,3,65.0,61.0,65.33333333333333,68.72,380.5260626838274,LOW,1890,378.0,NO
2023-03-19,Store_A,Milk,77,27,19,3,70.0,65.0,70.66666666666667,75.15,412.67606268382735,LOW,2079,415.8,NO
2023-03-20,Store_A,Milk,62,27,20,3,77.0,70.0,69.66666666666667,64.31,358.4760626838274,LOW,1674,334.8,NO
2023-03-21,Store_A,Milk,71,27,21,3,62.0,77.0,70.0,71.46,394.2260626838273,LOW,1917,383.40000000000003,NO
2023-03-22,Store_A,Milk,70,27,22,3,71.0,62.0,67.66666666666667,70.03,387.07606268382733,LOW,1890,378.0,NO
2023-03-23,Store_A,Milk,64,27,23,3,70.0,71.0,68.33333333333333,64.65,360.17606268382735,LOW,1728,345.6,NO
2023-03-24,Store_A,Milk,60,27,24,3,64.0,70.0,64.66666666666667,60.54,339.6260626838274,LOW,1620,324.0,NO
2023-03-25,Store_A,Milk,68,27,25,3,60.0,64.0,64.0,67.35,373.67606268382735,LOW,1836,367.20000000000005,NO
2023-03-26,Store_A,Milk,72,27,26,3,68.0,60.0,66.66666666666667,70.58,389.82606268382733,LOW,1944,388.8,NO
2023-03-27,Store_A,Milk,67,27,27,3,72.0,68.0,69.0,66.26,368.2260626838274,LOW,1809,361.8,NO
2023-03-28,Store_A,Milk,61,27,28,3,67.0,72.0,66.66666666666667,62.94,351.6260626838274,LOW,1647,329.40000000000003,NO
2023-03-29,Store_A,Milk,73,27,29,3,61.0,67.0,67.0,71.67,395.2760626838274,LOW,1971,394.20000000000005,NO
2023-03-30,Store_A,Milk,59,27,30,3,73.0,61.0,64.33333333333333,60.27,338.2760626838274,LOW,1593,318.6,NO
2023-03-31,Store_A,Milk,72,27,31,3,59.0,73.0,68.0,70.94,391.6260626838274,LOW,1944,388.8,NO
2023-04-01,Store_A,Milk,59,27,1,4,72.0,59.0,63.333333333333336,59.91,336.4760626838273,LOW,1593,318.6,NO
2023-04-02,Store_A,Milk,55,27,2,4,59.0,72.0,62.0,58.18,327.82606268382733,LOW,1485,297.0,NO
2023-04-03,Store_A,Milk,70,27,3,4,55.0,59.0,61.333333333333336,67.62,375.0260626838274,LOW,1890,378.0,NO
2023-04-04,Store_A,Milk,71,27,4,4,70.0,55.0,65.33333333333333,69.99,386.8760626838274,LOW,1917,383.40000000000003,NO
2023-04-05,Store_A,Milk,54,27,5,4,71.0,70.0,65.0,55.73,315.57606268382733,LOW,1458,291.6,NO
2023-04-06,Store_A,Milk,67,27,6,4,54.0,71.0,64.0,65.39,363.8760626838274,LOW,1809,361.8,NO
2023-04-07,Store_A,Milk,54,27,7,4,67.0,54.0,58.333333333333336,54.32,308.5260626838274,LOW,1458,291.6,NO
2023-04-08,Store_A,Milk,67,27,8,4,54.0,67.0,62.666666666666664,66.02,367.0260626838274,LOW,1809,361.8,NO
2023-04-09,Store_A,Milk,65,27,9,4,67.0,54.0,62.0,64.53,359.57606268382733,LOW,1755,351.0,NO
2023-04-10,Store_A,Milk,50,27,10,4,65.0,67.0,60.666666666666664,51.34,293.6260626838274,LOW,1350,270.0,NO
2023-04-11,Store_A,Milk,60,27,11,4,50.0,65.0,58.333333333333336,58.82,331.0260626838274,LOW,1620,324.0,NO
2023-04-12,Store_A,Milk,58,27,12,4,60.0,50.0,56.0,58.4,328.92606268382735,LOW,1566,313.20000000000005,NO
2023-04-13,Store_A,Milk,49,27,13,4,58.0,60.0,55.666666666666664,50.56,289.7260626838274,LOW,1323,264.6,NO
2023-04-14,Store_A,Milk,48,27,14,4,49.0,58.0,51.666666666666664,49.84,286.1260626838274,LOW,1296,259.2,NO
2023-04-15,Store_A,Milk,59,27,15,4,48.0,49.0,52.0,58.31,328.4760626838274,LOW,1593,318.6,NO
2023-04-16,Store_A,Milk,43,27,16,4,59.0,48.0,50.0,44.11,257.4760626838274,LOW,1161,232.20000000000002,NO
2023-04-17,Store_A,Milk,61,27,17,4,43.0,59.0,54.333333333333336,58.73,330.57606268382733,LOW,1647,329.40000000000003,NO
2023-04-18,Store_A,Milk,43,27,18,4,61.0,43.0,49.0,44.07,257.2760626838274,LOW,1161,232.20000000000002,NO
2023-04-19,Store_A,Milk,57,27,19,4,43.0,61.0,53.666666666666664,56.72,320.5260626838274,LOW,1539,307.8,NO
2023-04-20,Store_A,Milk,61,27,20,4,57.0,43.0,53.666666666666664,59.78,335.82606268382733,LOW,1647,329.40000000000003,NO
2023-04-21,Store_A,Milk,54,27,21,4,61.0,57.0,57.333333333333336,53.73,305.57606268382733,LOW,1458,291.6,NO
2023-04-22,Store_A,Milk,48,27,22,4,54.0,61.0,54.333333333333336,51.3,293.42606268382735,LOW,1296,259.2,NO
2023-04-23,Store_A,Milk,57,27,23,4,48.0,54.0,53.0,57.04,322.1260626838274,LOW,1539,307.8,NO
2023-04-24,Store_A,Milk,57,27,24,4,57.0,48.0,54.0,58.3,328.42606268382735,LOW,1539,307.8,NO
2023-04-25,Store_A,Milk,62,27,25,4,57.0,57.0,58.666666666666664,60.73,340.57606268382733,LOW,1674,334.8,NO
2023-04-26,Store_A,Milk,52,27,26,4,62.0,57.0,57.0,53.17,302.7760626838274,LOW,1404,280.8,NO
2023-04-27,Store_A,Milk,53,27,27,4,52.0,62.0,55.666666666666664,53.65,305.17606268382735,LOW,1431,286.2,NO
2023-04-28,Store_A,Milk,64,27,28,4,53.0,52.0,56.333333333333336,62.19,347.8760626838274,LOW,1728,345.6,NO
2023-04-29,Store_A,Milk,65,27,29,4,64.0,53.0,60.666666666666664,63.76,355.7260626838274,LOW,1755,351.0,NO
2023-04-30,Store_A,Milk,53,27,30,4,65.0,64.0,60.666666666666664,53.31,303.4760626838274,LOW,1431,286.2,NO
2023-05-01,Store_A,Milk,57,27,1,5,53.0,65.0,58.333333333333336,56.83,321.07606268382733,LOW,1539,307.8,NO
2023-05-02,Store_A,Milk,58,27,2,5,57.0,53.0,56.0,58.8,330.92606268382735,LOW,1566,313.20000000000005,NO
2023-05-03,Store_A,Milk,62,27,3,5,58.0,57.0,59.0,60.89,341.3760626838274,LOW,1674,334.8,NO
2023-05-04,Store_A,Milk,63,27,4,5,62.0,58.0,61.0,62.25,348.17606268382735,LOW,1701,340.20000000000005,NO
2023-05-05,Store_A,Milk,52,27,5,5,63.0,62.0,59.0,53.55,304.67606268382735,LOW,1404,280.8,NO
2023-05-06,Store_A,Milk,55,27,6,5,52.0,63.0,56.666666666666664,54.91,311.4760626838273,LOW,1485,297.0,NO
2023-05-07,Store_A,Milk,58,27,7,5,55.0,52.0,55.0,58.19,327.8760626838274,LOW,1566,313.20000000000005,NO
2023-05-08,Store_A,Milk,70,27,8,5,58.0,55.0,61.0,66.74,370.6260626838274,LOW,1890,378.0,NO
2023-05-09,Store_A,Milk,69,27,9,5,70.0,58.0,65.66666666666667,69.01,381.9760626838274,LOW,1863,372.6,NO
2023-05-10,Store_A,Milk,64,27,10,5,69.0,70.0,67.66666666666667,64.68,360.32606268382744,LOW,1728,345.6,NO
2023-05-11,Store_A,Milk,60,27,11,5,64.0,69.0,64.33333333333333,60.21,337.9760626838274,LOW,1620,324.0,NO
2023-05-12,Store_A,Milk,66,27,12,5,60.0,64.0,63.333333333333336,66.02,367.0260626838274,LOW,1782,356.40000000000003,NO
2023-05-13,Store_A,Milk,67,27,13,5,66.0,60.0,64.33333333333333,65.58,364.82606268382733,LOW,1809,361.8,NO
2023-05-14,Store_A,Milk,63,27,14,5,67.0,66.0,65.33333333333333,64.62,360.0260626838274,LOW,1701,340.20000000000005,NO
2023-05-15,Store_A,Milk,75,27,15,5,63.0,67.0,68.33333333333333,72.89,401.3760626838274,LOW,2025,405.0,NO
2023-05-16,Store_A,Milk,74,27,16,5,75.0,63.0,70.66666666666667,72.92,401.5260626838274,LOW,1998,399.6,NO
2023-05-17,Store_A,Milk,75,27,17,5,74.0,75.0,74.66666666666667,74.27,408.2760626838274,LOW,2025,405.0,NO
2023-05-18,Store_A,Milk,71,27,18,5,75.0,74.0,73.33333333333333,72.69,400.3760626838274,LOW,1917,383.40000000000003,NO
2023-05-19,Store_A,Milk,84,27,19,5,71.0,75.0,76.66666666666667,81.99,446.8760626838274,LOW,2268,453.6,NO
2023-05-20,Store_A,Milk,82,27,20,5,84.0,71.0,79.0,80.63,440.07606268382733,LOW,2214,442.8,NO
2023-05-21,Store_A,Milk,81,27,21,5,82.0,84.0,82.33333333333333,80.32,438.5260626838274,LOW,2187,437.40000000000003,NO
2023-05-22,Store_A,Milk,76,27,22,5,81.0,82.0,79.66666666666667,77.41,423.9760626838273,LOW,2052,410.40000000000003,NO
2023-05-23,Store_A,Milk,84,27,23,5,76.0,81.0,80.33333333333333,81.18,442.82606268382744,LOW,2268,453.6,NO
2023-05-24,Store_A,Milk,79,27,24,5,84.0,76.0,79.66666666666667,79.14,432.6260626838274,LOW,2133,426.6,NO
2023-05-25,Store_A,Milk,74,27,25,5,79.0,84.0,79.0,75.49,414.3760626838274,LOW,1998,399.6,NO
2023-05-26,Store_A,Milk,72,27,26,5,74.0,79.0,75.0,72.53,399.57606268382733,LOW,1944,388.8,NO
2023-05-27,Store_A,Milk,81,27,27,5,72.0,74.0,75.66666666666667,78.98,431.82606268382744,LOW,2187,437.40000000000003,NO
2023-05-28,Store_A,Milk,75,27,28,5,81.0,72.0,76.0,76.07,417.2760626838274,LOW,2025,405.0,NO
2023-05-29,Store_A,Milk,70,27,29,5,75.0,81.0,75.33333333333333,70.99,391.8760626838274,LOW,1890,378.0,NO
2023-05-30,Store_A,Milk,76,27,30,5,70.0,75.0,73.66666666666667,76.09,417.3760626838274,LOW,2052,410.40000000000003,NO
2023-05-31,Store_A,Milk,67,27,31,5,76.0,70.0,71.0,68.28,378.32606268382733,LOW,1809,361.8,NO
2023-06-01,Store_A,Milk,76,27,1,6,67.0,76.0,73.0,75.16,412.7260626838273,LOW,2052,410.40000000000003,NO
2023-06-02,Store_A,Milk,65,27,2,6,76.0,67.0,69.33333333333333,65.95,366.67606268382735,LOW,1755,351.0,NO
2023-06-03,Store_A,Milk,65,27,3,6,65.0,76.0,68.66666666666667,65.88,366.32606268382733,LOW,1755,351.0,NO
2023-06-04,Store_A,Milk,70,27,4,6,65.0,65.0,66.66666666666667,69.56,384.7260626838274,LOW,1890,378.0,NO
2023-06-05,Store_A,Milk,70,27,5,6,70.0,65.0,68.33333333333333,69.78,385.82606268382733,LOW,1890,378.0,NO
2023-06-06,Store_A,Milk,77,27,6,6,70.0,70.0,72.33333333333333,74.72,410.5260626838274,LOW,2079,415.8,NO
2023-06-07,Store_A,Milk,72,27,7,6,77.0,70.0,73.0,72.85,401.17606268382735,LOW,1944,388.8,NO
2023-06-08,Store_A,Milk,67,27,8,6,72.0,77.0,72.0,68.62,380.0260626838274,LOW,1809,361.8,NO
2023-06-09,Store_A,Milk,69,27,9,6,67.0,72.0,69.33333333333333,68.35,378.67606268382735,LOW,1863,372.6,NO
2023-06-10,Store_A,Milk,61,27,10,6,69.0,67.0,65.66666666666667,62.35,348.67606268382735,LOW,1647,329.40000000000003,NO
2023-06-11,Store_A,Milk,60,27,11,6,61.0,69.0,63.333333333333336,61.18,342.82606268382733,LOW,1620,324.0,NO
2023-06-12,Store_A,Milk,55,27,12,6,60.0,61.0,58.666666666666664,55.16,312.7260626838273,LOW,1485,297.0,NO
2023-06-13,Store_A,Milk,71,27,13,6,55.0,60.0,62.0,69.74,385.6260626838274,LOW,1917,383.40000000000003,NO
2023-06-14,Store_A,Milk,61,27,14,6,71.0,55.0,62.333333333333336,62.14,347.6260626838274,LOW,1647,329.40000000000003,NO
2023-06-15,Store_A,Milk,70,27,15,6,61.0,71.0,67.33333333333333,70.13,387.57606268382733,LOW,1890,378.0,NO
2023-06-16,Store_A,Milk,51,27,16,6,70.0,61.0,60.666666666666664,52.18,297.82606268382733,LOW,1377,275.40000000000003,NO
2023-06-17,Store_A,Milk,50,27,17,6,51.0,70.0,57.0,52.73,300.57606268382733,LOW,1350,270.0,NO
2023-06-18,Store_A,Milk,61,27,18,6,50.0,51.0,54.0,60.11,337.4760626838274,LOW,1647,329.40000000000003,NO
2023-06-19,Store_A,Milk,65,27,19,6,61.0,50.0,58.666666666666664,64.36,358.7260626838274,LOW,1755,351.0,NO
2023-06-20,Store_A,Milk,57,27,20,6,65.0,61.0,61.0,56.93,321.57606268382733,LOW,1539,307.8,NO
2023-06-21,Store_A,Milk,67,27,21,6,57.0,65.0,63.0,66.48,369.32606268382744,LOW,1809,361.8,NO
2023-06-22,Store_A,Milk,59,27,22,6,67.0,57.0,61.0,59.17,332.7760626838274,LOW,1593,318.6,NO
2023-06-23,Store_A,Milk,63,27,23,6,59.0,67.0,63.0,63.48,354.32606268382733,LOW,1701,340.20000000000005,NO
2023-06-24,Store_A,Milk,61,27,24,6,63.0,59.0,61.0,61.26,343.2260626838274,LOW,1647,329.40000000000003,NO
2023-06-25,Store_A,Milk,51,27,25,6,61.0,63.0,58.333333333333336,52.38,298.82606268382744,LOW,1377,275.40000000000003,NO
2023-06-26,Store_A,Milk,57,27,26,6,51.0,61.0,56.333333333333336,55.94,316.6260626838274,LOW,1539,307.8,NO
2023-06-27,Store_A,Milk,61,27,27,6,57.0,51.0,56.333333333333336,61.26,343.2260626838274,LOW,1647,329.40000000000003,NO
2023-06-28,Store_A,Milk,68,27,28,6,61.0,57.0,62.0,66.8,370.92606268382735,LOW,1836,367.20000000000005,NO
2023-06-29,Store_A,Milk,61,27,29,6,68.0,61.0,63.333333333333336,61.27,343.2760626838274,LOW,1647,329.40000000000003,NO
2023-06-30,Store_A,Milk,54,27,30,6,61.0,68.0,61.0,55.84,316.1260626838274,LOW,1458,291.6,NO
2023-07-01,Store_A,Milk,70,27,1,7,54.0,61.0,61.666666666666664,67.5,374.42606268382735,LOW,1890,378.0,NO
2023-07-02,Store_A,Milk,57,27,2,7,70.0,54.0,60.333333333333336,57.41,323.9760626838273,LOW,1539,307.8,NO
2023-07-03,Store_A,Milk,73,27,3,7,57.0,70.0,66.66666666666667,72.04,397.1260626838274,LOW,1971,394.20000000000005,NO
2023-07-04,Store_A,Milk,60,27,4,7,73.0,57.0,63.333333333333336,60.63,340.07606268382744,LOW,1620,324.0,NO
2023-07-05,Store_A,Milk,68,27,5,7,60.0,73.0,67.0,69.26,383.2260626838274,LOW,1836,367.20000000000005,NO
2023-07-06,Store_A,Milk,76,27,6,7,68.0,60.0,68.0,74.04,407.1260626838274,LOW,2052,410.40000000000003,NO
2023-07-07,Store_A,Milk,67,27,7,7,76.0,68.0,70.33333333333333,68.26,378.2260626838274,LOW,1809,361.8,NO
2023-07-08,Store_A,Milk,63,27,8,7,67.0,76.0,68.66666666666667,65.47,364.2760626838274,LOW,1701,340.20000000000005,NO
2023-07-09,Store_A,Milk,79,27,9,7,63.0,67.0,69.66666666666667,76.7,420.42606268382735,LOW,2133,426.6,NO
2023-07-10,Store_A,Milk,81,27,10,7,79.0,63.0,74.33333333333333,77.85,426.17606268382735,LOW,2187,437.40000000000003,NO
2023-07-11,Store_A,Milk,66,27,11,7,81.0,79.0,75.33333333333333,68.94,381.6260626838274,LOW,1782,356.40000000000003,NO
2023-07-12,Store_A,Milk,68,27,12,7,66.0,81.0,71.66666666666667,69.48,384.32606268382744,LOW,1836,367.20000000000005,NO
2023-07-13,Store_A,Milk,72,27,13,7,68.0,66.0,68.66666666666667,70.66,390.2260626838273,LOW,1944,388.8,NO
2023-07-14,Store_A,Milk,68,27,14,7,72.0,68.0,69.33333333333333,67.4,373.92606268382735,LOW,1836,367.20000000000005,NO
2023-07-15,Store_A,Milk,79,27,15,7,68.0,72.0,73.0,78.1,427.42606268382735,LOW,2133,426.6,NO
2023-07-16,Store_A,Milk,76,27,16,7,79.0,68.0,74.33333333333333,75.99,416.8760626838274,LOW,2052,410.40000000000003,NO
2023-07-17,Store_A,Milk,70,27,17,7,76.0,79.0,75.0,70.65,390.17606268382735,LOW,1890,378.0,NO
2023-07-18,Store_A,Milk,70,27,18,7,70.0,76.0,72.0,71.58,394.82606268382733,LOW,1890,378.0,NO
2023-07-19,Store_A,Milk,82,27,19,7,70.0,70.0,74.0,80.67,440.2760626838274,LOW,2214,442.8,NO
2023-01-03,Store_A,Bread,88,47,3,1,79.0,88.0,85.0,87.96,477.7319818551829,LOW,4136,827.2,NO
2023-01-04,Store_A,Bread,99,47,4,1,88.0,79.0,88.66666666666667,96.45,520.1819818551829,LOW,4653,930.6,NO
2023-01-05,Store_A,Bread,98,47,5,1,99.0,88.0,95.0,98.4,529.9319818551829,LOW,4606,921.2,NO
2023-01-06,Store_A,Bread,102,47,6,1,98.0,99.0,99.66666666666667,102.12,548.531981855183,LOW,4794,958.8000000000001,NO
2023-01-07,Store_A,Bread,87,47,7,1,102.0,98.0,95.66666666666667,88.81,481.981981855183,LOW,4089,817.8000000000001,NO
2023-01-08,Store_A,Bread,100,47,8,1,87.0,102.0,96.33333333333333,98.56,530.731981855183,LOW,4700,940.0,NO
2023-01-09,Store_A,Bread,104,47,9,1,100.0,87.0,97.0,101.39,544.881981855183,LOW,4888,977.6,NO
2023-01-10,Store_A,Bread,94,47,10,1,104.0,100.0,99.33333333333333,94.58,510.8319818551829,LOW,4418,883.6,NO
2023-01-11,Store_A,Bread,103,47,11,1,94.0,104.0,100.33333333333333,102.97,552.781981855183,LOW,4841,968.2,NO
2023-01-12,Store_A,Bread,102,47,12,1,103.0,94.0,99.66666666666667,102.5,550.4319818551829,LOW,4794,958.8000000000001,NO
2023-01-13,Store_A,Bread,100,47,13,1,102.0,103.0,101.66666666666667,100.22,539.031981855183,LOW,4700,940.0,NO
2023-01-14,Store_A,Bread,93,47,14,1,100.0,102.0,98.33333333333333,93.05,503.1819818551829,LOW,4371,874.2,NO
